# litman journal full-name -> ISO4 abbreviation table.
# Source: JabRef abbrv.jabref.org (CC0 1.0). Merged: ACS + life-science
# lists, de-duplicated by normalized full name (ACS precedence).
# Columns: "Full journal name","ISO4 abbreviation". Loader skips # lines.
"AACN Clinical Issues","AACN Clin. Issues"
"AACN Clinical Issues in Critical Care Nursing","AACN Clin. Issues Crit. Care Nurs."
"AADE Editors Journal","AADE Ed. J."
"AANA Journal","AANA J."
"AANNT Journal","AANNT J."
"AAOHN Journal","AAOHN J."
"AAPPO Journal","AAPPO J."
"AAPS Journal","AAPS J."
"AAPS PharmSci","AAPS PharmSci"
"AARN News Letter","AARN News Lett."
"Abdominal Imaging","Abdom. Imaging"
"ABNF Journal","ABNF J."
"Academia Peruana de Cirugia","Acad. Peru. Cir."
"Academic Emergency Medicine","Acad. Emerg. Med."
"Academic Medicine","Acad. Med."
"Academic Nurse","Acad. Nurse"
"Academic Radiology","Acad. Radiol."
"Academy of Management Journal","Acad. Manage. J."
"Academy of Management Review","Acad. Manage. Rev."
"Academy Review of the California Academy of Periodontology","Acad. Rev. Calif. Acad. Periodontol."
"Acarologia","Acarologia"
"Accident Analysis and Prevention","Accid. Anal. Prev."
"Accident and Emergency Nursing","Accid. Emerg. Nurs."
"Accounts of Chemical Research","Acc. Chem. Res."
"ACP Journal Club","ACP J. Club"
"Acquisitions Medicales Recentes","Acquis. Med. Recent."
"ACRH Reports","ACRH Rep."
"Across the Board","Across Board (N. Y.)"
"ACS Applied Materials & Interfaces","ACS Appl. Mater. Interfaces"
"ACS Applied Nano Materials","ACS Appl. Nano Mater."
"ACS Biomaterials Science & Engineering","ACS Biomater. Sci. Eng."
"ACS Catalysis","ACS Catal."
"ACS Central Science","ACS Cent. Sci."
"ACS Chemical Biology","ACS Chem. Biol."
"ACS Chemical Neuroscience","ACS Chem. Neurosci."
"ACS Combinatorial Science","ACS Comb. Sci."
"ACS Energy Letters","ACS Energy Lett."
"ACS Infectious Diseases","ACS Infect. Dis."
"ACS Macro Letters","ACS Macro Lett."
"ACS Medicinal Chemistry Letters","ACS Med. Chem. Lett."
"ACS Nano","ACS Nano"
"ACS Photonics","ACS Photonics"
"ACS Sensors","ACS Sens."
"ACS Sustainable Chemistry & Engineering","ACS Sustainable Chem. Eng."
"ACS Symposium Series","ACS Symp. Ser."
"ACS Synthetic Biology","ACS Synth. Biol."
"Acta Academiae Medicinae Wuhan","Acta Acad. Med. Wuhan"
"Acta Allergologica","Acta Allergol."
"Acta Anaesthesiologica","Acta Anaesthesiol."
"Acta Anaesthesiologica Belgica","Acta Anaesthesiol. Belg."
"Acta Anaesthesiologica Scandinavica","Acta Anaesthesiol. Scand."
"Acta Anaesthesiologica Scandinavica. Supplementum","Acta Anaesthesiol. Scand. Suppl."
"Acta Anaesthesiologica Sinica","Acta Anaesthesiol. Sin."
"Acta Anaesthesiologica Taiwanica","Acta Anaesthesiol. Taiwan."
"Acta Anatomica","Acta Anat. (Basel)"
"Acta Anatomica. Supplement","Acta Anat. Suppl. (Basel)"
"Acta Anthropogenetica","Acta Anthropogenet."
"Acta Belgica. Medica Physica","Acta Belg. Med. Phys."
"Acta Bio-Medica de l'Ateneo Parmense","Acta Biomed. Ateneo Parmense"
"Acta Biochimica et Biophysica Academiae Scientiarum Hungaricae","Acta Biochim. Biophys. Acad. Sci. Hung."
"Acta Biochimica et Biophysica Hungarica","Acta Biochim. Biophys. Hung."
"Acta Biochimica et Biophysica Sinica","Acta Biochim. Biophys. Sin."
"Acta Biochimica Polonica","Acta Biochim. Pol."
"Acta Biologiae Experimentalis","Acta Biol. Exp. (Warsz.)"
"Acta Biologica Academiae Scientiarum Hungaricae","Acta Biol. Acad. Sci. Hung."
"Acta Biologica et Medica","Acta Biol. Med. (Gdansk)"
"Acta Biologica et Medica Germanica","Acta Biol. Med. Ger."
"Acta Biologica Hungarica","Acta Biol. Hung."
"Acta Biomaterialia","Acta Biomater."
"Acta Biotheoretica","Acta Biotheor."
"Acta Cancerologica","Acta Cancerol. (Lima)"
"Acta Cardiologica","Acta Cardiol."
"Acta Cardiologica. Supplementum","Acta Cardiol. Suppl."
"Acta Chemica Scandinavica","Acta Chem. Scand."
"Acta Chemica Scandinavica. Series A, Physical and Inorganic Chemistry","Acta Chem. Scand. A"
"Acta Chemica Scandinavica. Series B, Organic Chemistry and Biochemistry","Acta Chem. Scand. B"
"Acta Chimica Slovaca","Acta Chim. Slovaca"
"Acta Chimica Slovenica","Acta Chim. Slov."
"Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca","Acta Chir. Orthop. Traumatol. Cech."
"Acta Chirurgiae Plasticae","Acta Chir. Plast."
"Acta Chirurgica Academiae Scientiarum Hungaricae","Acta Chir. Acad. Sci. Hung."
"Acta Chirurgica Belgica","Acta Chir. Belg."
"Acta Chirurgica Hungarica","Acta Chir. Hung."
"Acta Chirurgica Italica","Acta Chir. Ital."
"Acta Chirurgica Iugoslavica","Acta Chir. Iugosl."
"Acta Chirurgica Scandinavica","Acta Chir. Scand."
